# This is a continuation of trace file D:\1c\Workapaces\diplom\.metadata\trace.log.bak_1
# version: 1.1
# verbose: true
# Time of creation: 2025-09-28 12:51:16.822
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.840 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/Roles/ЗапускВнешнегоСоединения/ЗапускВнешнегоСоединения.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.841 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/СкопироватьВБуферОбмена/Picture.zip |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.841 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/СостояниеПользователя14/СостояниеПользователя14.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.842 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/РазрешитьРедактированиеРеквизитовОбъекта/РазрешитьРедактированиеРеквизитовОбъекта.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.842 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/Пустая/Пустая.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.843 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/РедактироватьМакет/Picture.zip |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.844 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonModules/РаботаСФайламиСлужебный/РаботаСФайламиСлужебный.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.844 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/DataProcessors/НастройкаРазрешенийНаИспользованиеВнешнихРесурсов/НастройкаРазрешенийНаИспользованиеВнешнихРесурсов.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.845 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/InformationRegisters/ЗначенияГруппДоступаПоУмолчанию/ЗначенияГруппДоступаПоУмолчанию.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.845 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/ГраницаВокруг/ГраницаВокруг.mdo |
